wavelength_um,rsr_watts,spectra_type,,,,
6.0589999E-01,6.1414726E-02,lawn_grass,,,,
6.0750008E-01,6.1316088E-02,lawn_grass,,,,
6.0910004E-01,6.0792953E-02,lawn_grass,,,,
6.1070001E-01,5.9324265E-02,lawn_grass,,,,
6.1229998E-01,5.8900483E-02,lawn_grass,,,,
6.1390001E-01,5.8769651E-02,lawn_grass,,,,
6.1550003E-01,5.7149537E-02,lawn_grass,,,,
6.1710006E-01,5.5862434E-02,lawn_grass,,,,
6.1870003E-01,5.6057125E-02,lawn_grass,,,,
6.2029999E-01,5.5785984E-02,lawn_grass,,,,
6.2189996E-01,5.4152109E-02,lawn_grass,,,,
6.2350005E-01,5.4062221E-02,lawn_grass,,,,
6.2510002E-01,5.3998664E-02,lawn_grass,,,,
6.2669998E-01,5.317926E-02,lawn_grass,,,,
6.2830001E-01,5.4342024E-02,lawn_grass,,,,
6.2989998E-01,5.3139254E-02,lawn_grass,,,,
6.3169998E-01,5.3173661E-02,lawn_grass,,,,
6.3370001E-01,5.317102E-02,lawn_grass,,,,
6.3569999E-01,5.2461348E-02,lawn_grass,,,,
6.3770002E-01,5.1070698E-02,lawn_grass,,,,
6.397E-01,5.0129898E-02,lawn_grass,,,,
6.4170003E-01,4.9086198E-02,lawn_grass,,,,
6.4370006E-01,4.7837906E-02,lawn_grass,,,,
6.4570004E-01,4.7457594E-02,lawn_grass,,,,
6.4770007E-01,4.537712E-02,lawn_grass,,,,
6.4970005E-01,4.5175623E-02,lawn_grass,,,,
6.5170002E-01,4.3870419E-02,lawn_grass,,,,
6.5370005E-01,4.3868523E-02,lawn_grass,,,,
6.5570003E-01,4.3635979E-02,lawn_grass,,,,
6.5770006E-01,4.302036E-02,lawn_grass,,,,
6.5970004E-01,4.2706829E-02,lawn_grass,,,,
6.6170001E-01,4.1577853E-02,lawn_grass,,,,
6.6370004E-01,4.0885381E-02,lawn_grass,,,,
6.6570002E-01,4.038889E-02,lawn_grass,,,,
6.6770005E-01,3.9239205E-02,lawn_grass,,,,
6.7019999E-01,3.9069157E-02,lawn_grass,,,,
6.7320001E-01,3.8477663E-02,lawn_grass,,,,
6.7619997E-01,3.8823731E-02,lawn_grass,,,,
6.7919999E-01,3.8155764E-02,lawn_grass,,,,
6.8219995E-01,3.8970362E-02,lawn_grass,,,,
6.8519998E-01,3.9696891E-02,lawn_grass,,,,
6.882E-01,4.2075288E-02,lawn_grass,,,,
6.9120002E-01,4.9019031E-02,lawn_grass,,,,
6.9420004E-01,5.9077084E-02,lawn_grass,,,,
6.9720006E-01,7.1844786E-02,lawn_grass,,,,
7.0019996E-01,9.137892E-02,lawn_grass,,,,
7.0199996E-01,1.036905E-01,lawn_grass,,,,
7.04E-01,1.1896421E-01,lawn_grass,,,,
7.0599997E-01,1.3421218E-01,lawn_grass,,,,
7.08E-01,1.4704077E-01,lawn_grass,,,,
7.0999998E-01,1.637176E-01,lawn_grass,,,,
7.1199995E-01,1.796588E-01,lawn_grass,,,,
7.1399999E-01,1.9750507E-01,lawn_grass,,,,
7.1599996E-01,2.1464096E-01,lawn_grass,,,,
7.1799999E-01,2.3437883E-01,lawn_grass,,,,
7.1999997E-01,2.5455934E-01,lawn_grass,,,,
7.2199994E-01,2.7623388E-01,lawn_grass,,,,
7.2399998E-01,2.9841426E-01,lawn_grass,,,,
7.2599995E-01,3.2191214E-01,lawn_grass,,,,
7.2799999E-01,3.4622732E-01,lawn_grass,,,,
7.2999996E-01,3.7203616E-01,lawn_grass,,,,
7.3199993E-01,3.9808095E-01,lawn_grass,,,,
7.3399997E-01,4.2291227E-01,lawn_grass,,,,
7.3599994E-01,4.4863984E-01,lawn_grass,,,,
7.3799998E-01,4.7399488E-01,lawn_grass,,,,
7.4000001E-01,4.9643475E-01,lawn_grass,,,,
7.4199998E-01,5.1968652E-01,lawn_grass,,,,
7.4400002E-01,5.4263353E-01,lawn_grass,,,,
7.4599999E-01,5.6233382E-01,lawn_grass,,,,
7.4800003E-01,5.7932365E-01,lawn_grass,,,,
7.5050002E-01,6.0073704E-01,lawn_grass,,,,
7.5350004E-01,6.204266E-01,lawn_grass,,,,
7.5650001E-01,6.3702422E-01,lawn_grass,,,,
7.5950003E-01,6.5061712E-01,lawn_grass,,,,
7.6249999E-01,6.6021371E-01,lawn_grass,,,,
7.6550001E-01,6.6775304E-01,lawn_grass,,,,
7.6850003E-01,6.7439371E-01,lawn_grass,,,,
7.7149999E-01,6.783179E-01,lawn_grass,,,,
7.7450001E-01,6.8262804E-01,lawn_grass,,,,
7.7750003E-01,6.8588698E-01,lawn_grass,,,,
